env,lat,lon,start,end,alt,yield,cou
Kerou_UAC_20_1,10.898735,1.980412,2020-08-01,2020-10-20,365,943.7142857,BEN
Mbalmayo_IRA_18_2,3.766667,11.8,2018-09-21,2018-12-21,700,632.1141463,CMR
Kabanyolo_MAK_19_1,0.46444,32.60667,2019-04-26,2019-07-31,1249,1820.479412,UGA
Siaya_SFS_20_2,0.016018,34.44579,2020-10-09,2021-01-13,1252,1186.62963,KEN
Yaounde_IRA_18_2,3.85,11.45,2018-09-14,2018-12-20,769,568.6973171,CMR
Savalou_UAC_20_1,7.958876,1.888927,2020-08-04,2020-11-12,169,1158.166667,BEN
Ejura_SAR_21_1,7.33261,-1.41738,2021-08-30,2021-12-09,158,2720.502247,GHA
Nkolbisson_IRA_19_2,3.88166667,11.46,2019-09-01,2019-12-11,748,1893.500794,CMR
Garoua_IRA_20_1,9.424167,13.7575,2020-07-22,2020-11-02,210,728.3787879,CMR
Mbalmayo_IRA_19_2,3.51666667,11.5,2019-09-01,2019-12-13,750,1615.755556,CMR
Djidja_UAC_20_1,7.372473,1.75626,2020-08-04,2020-11-16,147,1105.22449,BEN
Glazoue_UAC_20_1,8.125694,2.123349,2020-08-02,2020-11-14,202,1757.494949,BEN
Nikki_UAC_20_1,9.876343,3.141292,2020-07-30,2020-11-11,425,1264.141414,BEN
Mubuku_MAK_19_1,0.21,30.11444,2019-04-09,2019-07-23,1015,1424.239223,UGA
Jinja_MAK_19_1,0.44278,33.21611,2019-04-12,2019-07-27,1173,1362.603429,UGA
Jinja_MAK_18_2,0.44278,33.216111,2018-10-17,2019-02-01,1173,920.0850476,UGA
Lira_MAK_18_2,2.31056,32.9125,2018-09-26,2019-01-11,1210,570.4492308,UGA
Kabwe_ZAR_21_2,-14.39372,28.495324,2021-12-30,2022-04-18,1121,974.3416667,ZMB
Mbalmayo_IRA_20_2,3.463531,11.59882,2020-09-05,2020-12-23,700,1281.363636,CMR
Mubuku_MAK_18_2,0.21,30.11444,2018-09-21,2019-01-08,1015,1419.407714,UGA
Bweyale_AGI_18_2,1.857,32.244,2018-09-20,2019-01-08,1117,1020.370784,UGA
Chitala_DAR_19_2,-13.6726,34.265682,2019-12-21,2020-04-09,599,1917.093333,MWI
Chongwe_SYA2_20_2,-15.336728,28.52557,2021-01-06,2021-04-26,1145,1732.952941,ZMB
Abi Zardi_MAK_19_1,3.0789,30.9438,2019-04-16,2019-08-05,1197,1850.327714,UGA
Akokoa_WAR_21_2,7.6492,-1.164678,2021-09-06,2021-12-26,180,1064.846962,GHA
Kigumba_AGI_19_1,1.8424,32.02123,2019-03-26,2019-07-15,1070,3783.959063,UGA
Obbo_FST_21_1,4.066389,32.385556,2021-08-04,2021-11-23,931,889.9777778,SSD
Bamahu_SAR_19_1,9.986113,-2.466585,2019-07-17,2019-11-06,310,2024.803167,GHA
Magwi_FST_21_1,4.211667,32.235,2021-07-21,2021-11-10,844,606.6,SSD
Yoto Kope_GLK_20_2,6.73333,1.333333,2020-09-17,2021-01-07,76,1087.774576,TGO
Ziguinchor_UAS_21_1,12.549652,-16.284155,2021-07-26,2021-11-15,32,1056.756303,SEN
Mugali_FST_21_1,3.604833,32.017133,2021-07-15,2021-11-05,640,1045.111111,SSD
Dokopong_SAR_20_1,7.332,-1.417,2020-07-21,2020-11-12,162,1464.291667,GHA
